"","p(Int)","lam(Int)","p(camdays)","lam(ndvi)","lam(npp)","lam(rad)","lam(water)","lam(ndvi:npp)","lam(ndvi:rad)","lam(ndvi:water)","lam(npp:rad)","lam(npp:water)","lam(rad:water)","df","logLik","AICc","delta","weight"
"284",1.46038900453706,2.70778464472755,4.51714354509189,-0.450498010131672,-2.65053656596634,NA,0.213387143913679,-3.9478890610958,NA,NA,NA,0.841968777306417,NA,9,-180.236327123198,381.375880052848,7.03416651076378,0.00313395969575064
"832",1.84917308576265,2.06064361651963,5.0026850064797,-0.938361419466467,-5.46727667065119,-0.9321123036534,1.11459687978541,-4.61115627684104,-0.668067715582721,NA,NA,2.05565609553573,1.25074619762428,12,-176.083150350781,381.454436294782,7.11272275269738,0.00301324979532787
"11",1.84766959706898,3.02749669646187,4.9104181630573,NA,-0.109053750151834,NA,0.139931708920834,NA,NA,NA,NA,NA,NA,6,-184.109930863054,381.512169418416,7.17045587633089,0.00292751107842975
"112",1.67867614425524,3.11416982107062,4.80647806232438,0.256550493484419,-0.0909168304532011,-0.251229930844797,-0.146162965513141,NA,0.261450782667755,-0.476946954200501,NA,NA,NA,10,-179.087669840688,381.781897058425,7.44018351634071,0.00255816135754871
"176",1.92739786773314,3.96292241261697,5.09027790865154,0.0765075144380764,0.934365848337933,2.20883062396865,0.114073840565151,NA,-0.108839742086029,NA,8.32112882730643,NA,NA,10,-179.114811688419,381.836180753887,7.49446721180277,0.00248966193705824
"992",1.62429968823253,2.25556711622422,4.76089041768868,-0.110489957655888,-4.98058149539284,-0.547648560975249,0.589571558707523,-1.38172324827354,NA,-0.530459417949726,0.187683134415096,2.19505658316389,0.790117100755268,13,-174.78542550345,381.846713075865,7.50499953378005,0.00247658543818479
"526",15.2125654465417,2.84178430296712,19.2426521077791,-0.364545031948442,NA,-0.326555330974508,0.605443665861611,NA,NA,NA,NA,NA,1.02568870813036,8,-181.808304928112,381.902324141937,7.56061059985279,0.00240867123091902
"656",1.84019226093558,3.8962663153883,4.98532151286555,0.102960150095478,0.864544367692687,2.02474675864087,0.0383282173314748,NA,NA,NA,7.64978928550992,NA,-0.076254270395654,10,-179.176434642156,381.959426661361,7.617713119276,0.00234087309961856
"12",1.40174277514515,3.03785217917744,4.46732513272485,0.31434440325146,-0.103880532365733,NA,0.135365057005368,NA,NA,NA,NA,NA,NA,7,-183.281901430167,382.313802860334,7.97208931824963,0.00196076730698037
"64",1.91527123403008,2.89163642665623,5.08483607971744,-0.537947416379429,-0.81114331267932,-0.578570364054374,0.0563187435479927,-3.41412078228087,-0.136315538609315,NA,NA,NA,NA,10,-179.458264902259,382.523087181567,8.1813736394821,0.00176595870608384
"912",1.67148306657016,2.70902767262228,4.80006103393066,0.116885494699107,-3.02157877816918,0.283321133513581,0.570123159455335,NA,NA,NA,3.18477603887282,1.57726762130191,0.514165557680781,11,-178.067007736043,382.534015472085,8.19230193000061,0.00175633556625197
"48",1.67201609672184,2.9788530668839,4.78977090014308,0.230005804843368,-0.0930025271770473,-0.479409312401573,-0.00186509317091779,NA,0.232050947777978,NA,NA,NA,NA,9,-180.842430234484,382.588086275419,8.24637273333457,0.0017094884474884
"624",1.67714740504385,3.22220983374439,4.81390771557304,-0.0983047525660056,-0.300803964292439,-0.0631979867939232,0.827329502967618,NA,-0.35222355648433,-0.558447782483919,NA,NA,1.60753836019563,11,-178.099147395224,382.598294790448,8.2565812483636,0.0017007850094251
"544",1.71466185532788,2.96092503135141,4.83921855880302,-0.402521185921813,-0.653455990789811,-0.457684112054227,0.0986279066026066,-2.59956247163161,NA,NA,NA,NA,0.164114176312993,10,-179.508747175373,382.624051727795,8.2823381857101,0.00167902194124905
"496",2.4104669465355,3.63488855363497,5.75922276452638,0.212579857145757,-1.64627283409258,2.20094287076576,0.195704376712479,NA,-0.0889164600611624,-0.573199245714023,8.66670491398332,1.26079881009611,NA,12,-176.702243851475,382.692623296169,8.35090975408474,0.00162243103267793
"448",1.99034050960361,2.46254042487019,5.16937448484089,-0.518238314690465,-4.10452073816101,-0.12053607981894,0.316902865282854,-3.70124131779625,-0.23093322866303,NA,2.66368144417908,1.72769379889886,NA,12,-176.705229843009,382.698595279239,8.35688173715448,0.0016175936930702
"752",1.86528062228461,4.03698343031668,5.03000630800089,-0.132490932874633,0.617061858169944,2.19344889198275,0.697872450478579,NA,-0.499959885125333,-0.576075964173643,7.03955520550851,NA,1.25095558856316,12,-176.711876011951,382.711887617123,8.37017407503799,0.00160687853891139
"608",1.67650069611226,3.14279054641819,4.80180031676529,-0.163029537847302,-0.407111337445446,-0.155571162184938,0.242850340470957,-1.13570247236317,NA,-0.462871975464827,NA,NA,0.649538227658399,11,-178.175711996909,382.751423993817,8.40971045173262,0.00157542537163936
"432",1.71629262212275,2.83488442751037,4.85467895309434,0.223771105818456,-2.58737481361231,0.536339070983987,0.243685971426224,NA,0.129745944316753,NA,4.0898418654343,1.45447659911727,NA,11,-178.218928018627,382.837856037254,8.49614249516941,0.0015087919406595
"816",1.56982501915797,2.18859647546814,4.68101058352185,0.100309473406112,-4.20390968561151,-0.785427639989186,0.853122298161997,NA,-0.033558024530059,NA,NA,1.93164793355028,0.92111939850075,11,-178.269609400664,382.939218801329,8.59750525924397,0.00143422969803249
"192",2.14052350083104,3.72281226453741,5.34031135076884,-0.477551284421472,0.186992623218484,1.67557162584019,0.163056579273733,-2.73349276313524,-0.371120630584306,NA,6.95455382999537,NA,NA,11,-178.281880846537,382.963761693074,8.62204815098977,0.00141673717471401
"1024",1.6856673946877,2.21900830970841,4.83218109986343,-0.581962640127384,-5.59121464118369,-0.577484234799841,1.31786814185761,-2.61930426747458,-0.674532222785791,-0.602408938375707,0.0414989617830111,2.28507308931943,1.92300937657134,14,-173.798101713582,382.964624479796,8.62291093771165,0.00141612613551124
"512",1.86817358710508,2.60399204809992,5.03448462212736,-0.0666732824997752,-3.95642662388622,0.169564126382193,0.142421048562569,-1.75501510791192,0.0254420675417977,-0.494253176434593,2.7593265893697,1.86401154343716,NA,13,-175.362612356817,383.001086782599,8.65937324051424,0.00139054244421688
"128",1.88452922253877,3.03693145401632,5.05112136251715,-0.206258357424471,-0.496914243257493,-0.330504632676662,-0.105858526758074,-1.95428840267323,0.0616417650514388,-0.410217329358303,NA,NA,NA,11,-178.652893207442,383.705786414884,9.36407287279951,0.000977598820111817
"256",1.96969894778531,3.94999853964125,5.14613943887873,-0.1027066098196,0.593548679609582,2.09464757095093,-0.0316412740074591,-1.09301147166224,-0.155217025626955,-0.481625611296527,7.36164925094689,NA,NA,12,-177.214935591861,383.718006776942,9.3762932348572,0.000971643726225625
"672",1.87378783264187,3.66320929934431,5.02340739454798,-0.190282519927885,0.333493829402792,1.47732653770959,-0.100080050249532,-1.74201270891773,NA,NA,6.06046640296727,NA,-0.29975072832088,11,-178.703024697372,383.806049394745,9.4643358526601,0.000929798495869856
"267",1.81638004830418,2.90195105259323,4.87176360405433,NA,-0.759125530727473,NA,0.186898376835775,NA,NA,NA,NA,0.314875430610913,NA,7,-184.052711061018,383.855422122036,9.51370857995164,0.00090712615233883
"528",17.5705000212367,2.81547231465239,21.5440547627309,-0.477261263623103,-0.224874337510872,-0.256860529490241,0.775769527215989,NA,NA,NA,NA,NA,1.23043117741167,9,-181.482552669126,383.868331144704,9.52661760261896,0.00090128995148147
"736",1.75020871602641,4.08811808147749,4.89468997260623,0.116543241147799,0.883868072725812,2.39935008326411,-0.0274578542244668,-0.0212368292643615,NA,-0.505192647071078,7.91777797263956,NA,0.0804029151187002,12,-177.351674990894,383.991485575008,9.64977203292329,0.000847465221158501
"640",1.87399723712108,3.15402716297828,5.04234872768603,-0.702387568123009,-0.836558055472733,-0.11585276832229,0.920478685034083,-2.50994042413047,-0.649618506963647,-0.526297005402881,NA,NA,1.73214723692766,12,-177.416652497028,384.121440587277,9.77972704519209,0.000794149948392867
"576",1.97464481121213,2.94552551685339,5.14975091770894,-0.905285631107993,-1.0635044548923,-0.474303450595829,0.766737457853636,-3.9016858464583,-0.612165115609934,NA,NA,NA,1.12964933244538,11,-178.884980074386,384.169960148772,9.8282466066874,0.000775115859686374
