"","p(Int)","lam(Int)","p(camdays)","lam(ndvi)","lam(npp)","lam(rad)","lam(water)","lam(ndvi:npp)","lam(ndvi:rad)","lam(ndvi:water)","lam(npp:rad)","lam(npp:water)","lam(rad:water)","df","logLik","AICc","delta","weight"
"526",20.7764914228757,2.17636054225801,18.841270440252,-0.763321457892874,NA,-0.727881513202439,-0.432410654947458,NA,NA,NA,NA,NA,-1.03700247674126,8,-209.410037911197,437.105790108108,18.0756513676197,1.69860231427108e-05
"368",23.0324219285711,1.83261982059447,19.9873765566214,-0.468242528908342,-3.04138515926329,-0.288901965552334,0.163121360663245,NA,0.36848543038068,0.0571956511007323,NA,1.29626666185409,NA,11,-205.494750792612,437.389501585225,18.3593628447362,1.47395609387213e-05
"176",43.5244200575281,2.8091973132277,34.3785180833201,-0.582209083610268,-0.0658910847092649,1.07125825632419,0.26509300635215,NA,0.351220479765594,NA,3.04168841969196,NA,NA,10,-206.983412967402,437.573383311853,18.5432445713643,1.34448244930963e-05
"655",24.6864240850054,2.97600332970169,20.5475230002469,NA,0.438839291489941,1.28674570102454,-0.605236937935163,NA,NA,NA,5.36081358182557,NA,-0.885837428889713,9,-208.36826102984,437.639747866132,18.6096091256437,1.30060152086513e-05
"560",44.0322959611245,2.251697416546,35.5803627986144,-0.758165558155967,-0.438663822106354,-0.316328303221069,0.0788209957994411,NA,0.475578646139051,NA,NA,NA,-0.636171776878442,10,-207.345422334113,438.297402045275,19.2672633047869,9.36130654820385e-06
"92",38.9865183300625,2.48653225030177,26.1963644015526,-0.889713399238062,-0.860836866710787,NA,0.66192849487327,-1.37759806077369,NA,-0.247441178681928,NA,NA,NA,9,-208.700410458639,438.304046723731,19.2739079832421,9.33025671982886e-06
"256",2.74017655802305,2.91661276835634,4.13054622035192,-0.129622675684773,0.495039447353612,1.26327028244921,0.00294062129449374,1.99196889549108,0.317373127133326,0.0140469919972927,4.00595328369268,NA,NA,12,-204.5150459507,438.31822749462,19.2880887541314,9.26433558269755e-06
"32",41.2375516195133,2.39360654509771,32.4061200742698,-0.898709645500324,-0.816970476637718,-0.150534874675845,0.343793093365814,-1.58562893455349,NA,NA,NA,NA,NA,9,-208.741596065523,438.386417937497,19.3562791970089,8.95379015026031e-06
"525",29.8711762571607,2.43636205479345,19.8125465624814,NA,NA,-0.447461427189835,-0.600832607307727,NA,NA,NA,NA,NA,-0.388799883427616,7,-211.337267005106,438.424534010212,19.3943952697231,8.78476425877815e-06
"112",44.9678211564812,2.43597785531663,35.2389709594072,-0.685493285134013,-0.52020271077266,0.0218367193960085,0.418382079541138,NA,0.456650813222041,-0.0546264481479505,NA,NA,NA,10,-207.571241462792,438.749040302633,19.7189015621449,7.46903450071484e-06
"80",40.4897892379158,2.4694487284046,32.0295666017113,-0.510763584846577,-0.514858355748656,-0.159139120296125,0.337183484706569,NA,NA,-0.265216004205417,NA,NA,NA,9,-209.121680642508,439.146587091467,20.1164483509783,6.12263369415342e-06
"78",39.4927697703509,2.49539505992979,31.7160296145815,-0.449229037047184,NA,-0.170593892644777,-0.0121619145068292,NA,NA,-0.119094783131721,NA,NA,NA,8,-210.488800540451,439.263315366616,20.2331766261274,5.77551949704898e-06
